type,sample,dg,time,est,lower,upper,sukup,x,age_group,agegr,0,1,total,pros,pr_years,agegr_years,year
ci,all,f04_f09,75,2.252,2.219,2.285,2,75,,,,,,,,,
ci,all,f04_f09,76,2.474,2.439,2.509,2,76,,,,,,,,,
ci,all,f04_f09,77,2.712,2.675,2.749,2,77,,,,,,,,,
ci,all,f04_f09,78,2.965,2.926,3.004,2,78,,,,,,,,,
ci,all,f04_f09,79,3.239,3.198,3.28,2,79,,,,,,,,,
ci,all,f04_f09,80,3.55,3.507,3.594,2,80,,,,,,,,,
ci,all,f04_f09,81,3.861,3.816,3.906,2,81,,,,,,,,,
ci,all,f04_f09,82,4.177,4.13,4.225,2,82,,,,,,,,,
ci,all,f04_f09,83,4.505,4.456,4.555,2,83,,,,,,,,,
ci,all,f04_f09,84,4.863,4.811,4.915,2,84,,,,,,,,,
ci,all,f04_f09,85,5.194,5.14,5.248,2,85,,,,,,,,,
ci,all,f04_f09,86,5.514,5.458,5.569,2,86,,,,,,,,,
ci,all,f04_f09,87,5.833,5.775,5.89,2,87,,,,,,,,,
ci,all,f04_f09,88,6.122,6.063,6.181,2,88,,,,,,,,,
ci,all,f04_f09,89,6.379,6.319,6.44,2,89,,,,,,,,,
ci,all,f04_f09,90,6.602,6.54,6.664,2,90,,,,,,,,,
ci,all,f04_f09,91,6.808,6.745,6.871,2,91,,,,,,,,,
ci,all,f04_f09,92,6.979,6.915,7.043,2,92,,,,,,,,,
ci,all,f04_f09,93,7.121,7.056,7.186,2,93,,,,,,,,,
ci,all,f04_f09,94,7.233,7.167,7.299,2,94,,,,,,,,,
ci,all,f04_f09,95,7.322,7.256,7.389,2,95,,,,,,,,,
ci,all,f04_f09,96,7.384,7.317,7.451,2,96,,,,,,,,,
ci,all,f04_f09,97,7.428,7.361,7.496,2,97,,,,,,,,,
ci,all,f04_f09,98,7.451,7.384,7.519,2,98,,,,,,,,,
ci,all,f04_f09,99,7.47,7.402,7.538,2,99,,,,,,,,,
ci,all,f04_f09,100,7.481,7.413,7.549,2,100,,,,,,,,,
ci,all,f04_f09,35,0.163,0.155,0.172,1,35,,,,,,,,,
ci,all,f04_f09,36,0.184,0.175,0.194,1,36,,,,,,,,,
ci,all,f04_f09,37,0.205,0.196,0.215,1,37,,,,,,,,,
ci,all,f04_f09,38,0.225,0.215,0.236,1,38,,,,,,,,,
ci,all,f04_f09,39,0.247,0.236,0.258,1,39,,,,,,,,,
ci,all,f04_f09,40,0.269,0.258,0.28,1,40,,,,,,,,,
ci,all,f04_f09,41,0.292,0.281,0.304,1,41,,,,,,,,,
ci,all,f04_f09,42,0.321,0.309,0.333,1,42,,,,,,,,,
ci,all,f04_f09,43,0.35,0.337,0.363,1,43,,,,,,,,,
ci,all,f04_f09,44,0.382,0.369,0.396,1,44,,,,,,,,,
ci,all,f04_f09,45,0.415,0.402,0.429,1,45,,,,,,,,,
ci,all,f04_f09,46,0.444,0.43,0.458,1,46,,,,,,,,,
ci,all,f04_f09,47,0.479,0.464,0.494,1,47,,,,,,,,,
ci,all,f04_f09,48,0.518,0.503,0.534,1,48,,,,,,,,,
ci,all,f04_f09,49,0.555,0.539,0.571,1,49,,,,,,,,,
ci,all,f04_f09,50,0.596,0.58,0.612,1,50,,,,,,,,,
ci,all,f04_f09,51,0.641,0.624,0.658,1,51,,,,,,,,,
ci,all,f04_f09,52,0.692,0.674,0.709,1,52,,,,,,,,,
ci,all,f04_f09,53,0.741,0.723,0.759,1,53,,,,,,,,,
ci,all,f04_f09,54,0.795,0.777,0.814,1,54,,,,,,,,,
ci,all,f04_f09,55,0.853,0.834,0.872,1,55,,,,,,,,,
ci,all,f04_f09,56,0.919,0.9,0.94,1,56,,,,,,,,,
ci,all,f04_f09,57,0.98,0.96,1.001,1,57,,,,,,,,,
ci,all,f04_f09,58,1.046,1.025,1.067,1,58,,,,,,,,,
ci,all,f04_f09,59,1.114,1.092,1.136,1,59,,,,,,,,,
ci,all,f04_f09,60,1.184,1.161,1.206,1,60,,,,,,,,,
ci,all,f04_f09,61,1.254,1.231,1.278,1,61,,,,,,,,,
ci,all,f04_f09,62,1.333,1.309,1.357,1,62,,,,,,,,,
ci,all,f04_f09,63,1.41,1.386,1.435,1,63,,,,,,,,,
ci,all,f04_f09,64,1.494,1.469,1.52,1,64,,,,,,,,,
ci,all,f04_f09,65,1.586,1.56,1.612,1,65,,,,,,,,,
ci,all,f04_f09,66,1.682,1.655,1.709,1,66,,,,,,,,,
ci,all,f04_f09,67,1.788,1.761,1.817,1,67,,,,,,,,,
ci,all,f04_f09,68,1.899,1.87,1.928,1,68,,,,,,,,,
ci,all,f04_f09,69,2.021,1.991,2.051,1,69,,,,,,,,,
ci,all,f04_f09,70,2.159,2.128,2.191,1,70,,,,,,,,,
ci,all,f04_f09,71,2.307,2.275,2.339,1,71,,,,,,,,,
ci,all,f04_f09,72,2.469,2.436,2.503,1,72,,,,,,,,,
ci,all,f04_f09,73,2.638,2.604,2.673,1,73,,,,,,,,,
ci,all,f04_f09,74,2.823,2.787,2.86,1,74,,,,,,,,,
ci,all,f04_f09,75,3.029,2.991,3.067,1,75,,,,,,,,,
